Name,Magnitude H,Magnitude G,Mean anomaly,Arg. perihelion,Long. node,Inclination,Eccentricity,Semimajor axis,Epoch (MJD)
1 CERES,3.34,0.12,141.46157,71.115861,80.676944,10.600006,0.0765601,2.7674389,48800
2 PALLAS,4.13,0.11,127.6303,309.70032,173.30668,34.812511,0.2346437,2.7703259,48800
3 JUNO,5.33,0.32,341.38075,246.77554,170.53004,12.992216,0.2571193,2.6694499,48800
4 VESTA,3.2,0.32,315.20071,149.91861,103.988,7.135206,0.0895618,2.3615108,48800
5 ASTRAEA,6.85,0.15,106.57491,356.31349,141.78779,5.358094,0.1917271,2.5741578,48800
6 HEBE,5.71,0.24,50.414226,238.42932,139.03019,14.781692,0.2017432,2.4247914,48800
7 IRIS,5.51,0.15,39.657651,144.74021,260.08965,5.512577,0.2288782,2.3861395,48800
8 FLORA,6.49,0.28,117.82296,285.09377,111.10874,5.88638,0.1561568,2.2021329,48800
9 METIS,6.28,0.17,178.40715,5.103,69.072649,5.584091,0.1226085,2.3860321,48800
10 HYGIEA,5.43,0.15,210.76777,315.68774,283.81992,3.840814,0.1207192,3.1347876,48800
11 PARTHENOPE,6.55,0.15,285.18038,194.85289,125.68766,4.621088,0.0994716,2.4521168,48800
12 VICTORIA,7.24,0.22,305.22496,69.399818,235.67357,8.370278,0.2188944,2.3344423,48800
13 EGERIA,6.74,0.15,10.85279,81.515419,43.41165,16.52259,0.0868973,2.5760578,48800
14 IRENE,6.3,0.15,5.430304,94.81071,86.838936,9.110098,0.1666171,2.5868568,48800
15 EUNOMIA,5.28,0.23,197.07611,97.481524,293.56911,11.757588,0.1868373,2.6427013,48800
16 PSYCHE,5.9,0.2,154.59039,228.60676,150.492,3.092718,0.1344968,2.9268945,48800
17 THETIS,7.76,0.15,335.71516,135.89796,125.67091,5.585228,0.1354198,2.4693344,48800
18 MELPOMENE,6.51,0.25,10.930364,227.31634,150.70168,10.136671,0.2183429,2.2954566,48800
19 FORTUNA,7.13,0.1,185.91897,182.08599,211.63814,1.57128,0.1592839,2.4414161,48800
20 MASSALIA,6.5,0.25,55.488962,255.19915,206.95067,0.702125,0.1443619,2.4092849,48800
21 LUTETIA,7.35,0.11,322.73518,250.24,80.969564,3.066809,0.1625075,2.4353677,48800
22 KALLIOPE,6.45,0.21,50.601337,356.03533,66.459694,13.696909,0.0974902,2.910722,48800
23 THALIA,6.95,0.15,228.87618,59.274079,67.331672,10.151116,0.2300797,2.6302499,48800
24 THEMIS,7.08,0.19,48.891884,109.95492,36.052119,0.762584,0.1356133,3.1278204,48800
25 PHOCAEA,7.83,0.15,94.686095,90.443446,214.34669,21.57367,0.2561291,2.3998619,48800
26 PROSERPINA,7.5,0.15,32.97416,194.41857,46.060723,3.563054,0.0863885,2.6560327,48800
27 EUTERPE,7,0.15,169.49147,356.07153,94.820467,1.584206,0.1717597,2.3468196,48800
28 BELLONA,7.09,0.15,346.98476,343.74167,144.67758,9.402681,0.148896,2.7775796,48800
29 AMPHITRITE,5.85,0.2,78.652124,63.476396,356.6248,6.110749,0.0716065,2.5552279,48800
30 URANIA,7.57,0.15,255.48498,86.038229,308.11142,2.096171,0.1278396,2.3653091,48800
31 EUPHROSYNE,6.74,0.15,157.85409,62.918915,31.308413,26.340991,0.2284157,3.1447572,48800
32 POMONA,7.56,0.15,231.37,338.90537,220.67602,5.529366,0.0847654,2.5858328,48800
33 POLYHYMNIA,8.55,0.33,155.17312,337.55079,8.881854,1.892492,0.3378274,2.8708219,48800
34 CIRCE,8.51,0.15,96.300102,327.94684,184.7684,5.482886,0.1071148,2.6861509,48800
35 LEUKOTHEA,8.5,0.15,147.50881,214.57075,354.0026,7.9302,0.2241585,2.9960634,48800
36 ATALANTE,8.46,0.15,341.05005,46.283515,358.92304,18.481811,0.3041925,2.7466277,48800
37 FIDES,7.29,0.24,253.77393,61.559416,7.811441,3.076716,0.177549,2.6414312,48800
38 LEDA,8.32,0.15,35.625959,169.43923,296.18628,6.954481,0.1524643,2.7419123,48800
39 LAETITIA,6.1,0.15,6.17563,207.98757,157.41098,10.368584,0.1142872,2.7684882,48800
40 HARMONIA,7,0.15,159.04715,269.00854,94.381384,4.257125,0.0463303,2.2679681,48800
41 DAPHNE,7.12,0.1,189.81998,46.212879,178.38022,15.777109,0.2751953,2.7611124,48800
42 ISIS,7.53,0.15,193.20504,235.73558,84.723868,8.53759,0.2244485,2.4417231,48800
43 ARIADNE,7.93,0.11,64.815726,15.889132,265.15054,3.466197,0.1679236,2.2035084,48800
44 NYSA,7.03,0.46,43.800458,342.27802,131.67369,3.70346,0.1502819,2.4236353,48800
45 EUGENIA,7.46,0.07,47.267726,87.046471,148.02815,6.60496,0.0804236,2.7211264,48800
46 HESTIA,8.36,0.06,184.5603,176.08564,181.25745,2.33265,0.1712589,2.5270027,48800
47 AGLAJA,7.84,0.16,236.28213,314.58479,3.466551,4.993924,0.1300845,2.8841742,48800
48 DORIS,6.9,0.15,98.75414,262.31845,183.97371,6.546071,0.0717704,3.1124951,48800
49 PALES,7.8,0.15,261.36091,110.91379,286.3784,3.185331,0.2361544,3.0814662,48800
50 VIRGINIA,9.24,0.15,80.967477,199.25064,173.9171,2.83439,0.287502,2.6493271,48800
51 NEMAUSA,7.35,0.08,321.68965,2.327816,176.2659,9.958772,0.066278,2.3659961,48800
52 EUROPA,6.31,0.18,272.42918,337.51256,129.27156,7.438953,0.099662,3.1023287,48800
53 KALYPSO,8.81,0.15,305.9569,312.01898,144.04754,5.14939,0.2014689,2.6207323,48800
54 ALEXANDRA,7.66,0.15,13.250856,345.30878,313.58538,11.827067,0.1996948,2.7094839,48800
55 PANDORA,7.8,0.15,56.79721,3.130226,10.836242,7.201402,0.1436983,2.7589941,48800
56 MELETE,8.31,0.15,100.24596,102.92471,193.83969,8.07923,0.2351886,2.5968698,48800
57 MNEMOSYNE,7.03,0.15,209.99277,215.7995,199.45129,15.210869,0.1194228,3.1470084,48800
58 CONCORDIA,8.86,0.15,279.39366,32.666337,161.52732,5.061601,0.0461908,2.6987998,48800
59 ELPIS,7.93,0.15,157.77969,211.13572,170.37253,8.645255,0.1171952,2.7154618,48800
60 ECHO,8.21,0.27,121.44963,269.54079,192.10263,3.597103,0.1831844,2.3931285,48800
61 DANAE,7.68,0.15,196.58541,13.368583,334.04697,18.210393,0.1621942,2.9905197,48800
62 ERATO,8.76,0.15,292.47498,274.18464,125.81347,2.22285,0.1843649,3.1160915,48800
63 AUSONIA,7.55,0.25,55.024986,295.10381,338.2225,5.789266,0.125181,2.3958827,48800
64 ANGELINA,7.67,0.48,357.96972,179.75477,309.90456,1.310285,0.1256565,2.6814301,48800
65 CYBELE,6.62,0.01,175.50312,109.20977,156.05178,3.544445,0.1046347,3.4330659,48800
66 MAJA,9.36,0.15,296.17603,42.788573,8.047279,3.053213,0.1741642,2.6455909,48800
67 ASIA,8.28,0.15,236.41272,105.4171,202.98236,6.013977,0.1854315,2.4222142,48800
68 LETO,6.78,0.05,340.31088,304.1024,44.52881,7.963062,0.1874983,2.7812008,48800
69 HESPERIA,7.05,0.19,225.85974,286.08708,185.91336,8.540336,0.1666756,2.9816445,48800
70 PANOPAEA,8.11,0.14,306.10923,255.61648,48.029209,11.580739,0.1831649,2.614373,48800
71 NIOBE,7.3,0.4,313.19717,265.90022,316.47629,23.29247,0.1750286,2.7557805,48800
72 FERONIA,8.94,0.15,55.790955,102.5692,208.24748,5.410657,0.1211134,2.2662408,48800
73 KLYTIA,9,0.15,92.258514,56.242326,7.394388,2.38448,0.0419121,2.6661671,48800
74 GALATEA,8.66,0.15,350.69824,173.66604,197.72642,4.061384,0.2392913,2.7784959,48800
75 EURYDIKE,8.96,0.23,270.33473,338.92721,359.59024,5.015886,0.3080041,2.6698895,48800
76 FREIA,7.9,0.15,189.1275,256.23423,204.75906,2.115886,0.1655477,3.4137719,48800
77 FRIGGA,8.52,0.16,229.23783,60.684304,1.57281,2.433989,0.1339192,2.6675908,48800
78 DIANA,8.09,0.08,203.08264,150.84678,333.8541,8.668994,0.2045552,2.6227554,48800
79 EURYNOME,7.96,0.25,222.88079,200.20006,207.0226,4.625459,0.1937669,2.4436026,48800
80 SAPPHO,7.98,0.15,201.09847,139.17112,218.9575,8.663882,0.1999949,2.29648,48800
81 TERPSICHORE,8.48,0.15,144.50449,50.835474,1.573619,7.821068,0.2111177,2.853263,48800
82 ALKMENE,8.4,0.28,232.52268,110.29764,25.911666,2.837359,0.2204592,2.7637831,48800
83 BEATRIX,8.66,0.15,205.07907,166.66008,27.878272,4.97466,0.0825481,2.4317196,48800
84 KLIO,9.32,0.15,326.79236,14.69772,327.89007,9.340896,0.237604,2.3616909,48800
85 IO,7.61,0.15,147.15883,122.37012,203.555,11.960857,0.1926294,2.6534844,48800
86 SEMELE,8.54,0.15,41.143015,302.9642,87.319478,4.793267,0.2113096,3.1102698,48800
87 SYLVIA,6.94,0.15,40.451291,272.85267,73.740879,10.870156,0.0814119,3.4896359,48800
88 THISBE,7.04,0.14,113.33397,34.97101,277.03469,5.219917,0.1637405,2.7670368,48800
89 JULIA,6.6,0.15,287.06308,44.897854,311.7522,16.135979,0.1826032,2.5501407,48800
90 ANTIOPE,8.27,0.15,231.06912,236.61272,70.860368,2.232334,0.1566397,3.160835,48800
91 AEGINA,8.84,0.15,10.755484,73.229506,11.024702,2.12007,0.1037138,2.5902377,48800
92 UNDINA,6.61,0.15,278.9732,244.64367,102.07851,9.898424,0.0933997,3.1928632,48800
93 MINERVA,7.7,0.15,165.827,273.53723,4.62599,8.570307,0.1420452,2.7530117,48800
94 AURORA,7.57,0.15,38.556131,52.31763,3.194259,8.015147,0.0807555,3.1614185,48800
95 ARETHUSA,7.84,0.15,79.690293,151.75318,243.73108,12.925743,0.1426904,3.073304,48800
96 AEGLE,7.67,0.15,100.44232,203.49851,322.34704,16.025888,0.1378553,3.0512354,48800
97 KLOTHO,7.63,0.15,256.9299,267.80978,160.18064,11.758055,0.2589012,2.6675501,48800
98 IANTHE,8.84,0.15,94.381896,156.85255,354.34019,15.577737,0.1884386,2.6864634,48800
99 DIKE,9.43,0.15,183.15334,194.92126,41.890133,13.907841,0.199937,2.6607148,48800
100 HEKATE,7.67,0.15,271.55779,184.7364,127.74016,6.402099,0.1557885,3.1007922,48800
101 HELENA,8.33,0.35,307.92095,347.09203,343.62056,10.189276,0.1415568,2.5821039,48800
102 MIRIAM,9.26,0.15,186.56886,146.74113,211.07677,5.157355,0.253078,2.6641107,48800
103 HERA,7.66,0.15,339.49469,189.5099,136.38074,5.419818,0.0817703,2.7016577,48800
104 KLYMENE,8.27,0.15,0.987476,25.297961,42.31571,2.8238,0.1473831,3.1570092,48800
105 ARTEMIS,8.57,0.1,46.12449,56.023655,188.54504,21.484577,0.1766173,2.373103,48800
106 DIONE,7.41,0.15,313.37923,330.49973,62.605006,4.623005,0.1800333,3.1631635,48800
107 CAMILLA,7.08,0.08,290.57991,296.64647,174.15046,9.926069,0.0840731,3.482488,48800
108 HECUBA,8.09,0.15,148.05247,176.94133,350.85232,4.287308,0.05636,3.2394364,48800
109 FELICITAS,8.75,0.04,231.78534,56.39642,3.509008,7.886618,0.299322,2.6936591,48800
110 LYDIA,7.8,0.2,228.62668,283.4482,57.125793,5.96868,0.0787566,2.7334167,48800
111 ATE,8.02,0.15,275.11268,166.15357,306.13067,4.916533,0.0995816,2.5952658,48800
112 IPHIGENIA,9.84,0.15,45.281006,16.523479,324.04541,2.611204,0.1295272,2.4335718,48800
113 AMALTHEA,8.74,0.35,18.169631,79.056695,123.65452,5.034267,0.0875841,2.3756141,48800
114 KASSANDRA,8.26,0.15,16.832932,351.84837,164.5138,4.940991,0.1406943,2.6758019,48800
115 THYRA,7.51,0.12,266.97873,95.873061,309.31903,11.58756,0.1927107,2.3798469,48800
116 SIRONA,7.82,0.15,285.1532,94.43725,64.105598,3.572501,0.1387585,2.7682871,48800
117 LOMIA,7.95,0.15,74.451831,58.900815,349.22945,14.934285,0.0219094,2.9909827,48800
118 PEITHO,9.14,0.15,292.33373,33.086893,47.817139,7.747712,0.16122,2.4382175,48800
119 ALTHAEA,8.42,0.15,182.70843,170.93966,203.89195,5.763703,0.080992,2.5819864,48800
120 LACHESIS,7.75,0.15,275.44295,236.74948,341.70035,6.968939,0.0650067,3.1140417,48800
121 HERMIONE,7.31,0.15,155.93675,290.34887,74.252408,7.532044,0.1422099,3.4553341,48800
122 GERDA,7.87,0.15,93.524092,330.90196,178.79906,1.636239,0.0486865,3.216023,48800
123 BRUNHILD,8.89,0.15,298.7521,123.73457,308.23261,6.415554,0.1202661,2.6956301,48800
124 ALKESTE,8.11,0.19,108.94476,62.513855,188.4501,2.94914,0.0786377,2.6298544,48800
125 LIBERATRIX,9.04,0.33,201.06863,107.37345,169.45873,4.657551,0.0800457,2.7423442,48800
126 VELLEDA,9.27,0.15,186.25186,327.30933,23.604305,2.924143,0.1049774,2.4401439,48800
127 JOHANNA,8.3,0.15,332.12352,94.399885,31.589281,8.256436,0.0639444,2.7553127,48800
128 NEMESIS,7.49,0.15,115.73705,302.26695,76.670223,6.244186,0.1249258,2.7518706,48800
129 ANTIGONE,7.07,0.33,113.41649,109.02371,136.52891,12.219328,0.2136926,2.8674701,48800
130 ELEKTRA,7.12,0.15,356.66692,234.60526,145.96156,22.874664,0.2174334,3.1147818,48800
131 VALA,10.03,0.15,164.71535,158.46582,65.848605,4.955294,0.0671575,2.4319614,48800
132 AETHRA,9.38,0.15,141.61459,254.21334,259.1273,25.06925,0.3849641,2.6126846,48800
133 CYRENE,7.98,0.13,132.636,292.69433,319.36381,7.226475,0.140245,3.0602671,48800
134 SOPHROSYNE,8.76,0.28,278.70391,82.912563,346.47926,11.586946,0.116275,2.5644638,48800
135 HERTHA,8.23,0.15,306.55876,339.70629,344.13324,2.303254,0.204606,2.4288334,48800
136 AUSTRIA,9.69,0.15,303.95446,132.69299,186.68291,9.57497,0.0847592,2.2864993,48800
137 MELIBOEA,8.05,0.15,82.488084,107.87265,202.57142,13.43641,0.2231839,3.1110168,48800
138 TOLOSA,8.75,0.15,246.28546,259.16544,55.146955,3.209825,0.1626347,2.449217,48800
139 JUEWA,7.78,0.15,350.40543,165.84803,2.22684,10.943115,0.177967,2.7797889,48800
140 SIWA,8.34,0.15,81.216923,195.87931,107.40842,3.188886,0.2173386,2.7307662,48800
141 LUMEN,8.2,0.15,101.08606,56.927023,319.12801,11.911613,0.2139996,2.6668226,48800
142 POLANA,10.27,0.15,353.86476,292.24916,291.48439,2.239476,0.1362845,2.4178506,48800
143 ADRIA,9.12,0.15,135.67468,253.07524,333.39828,11.465134,0.0717204,2.7621469,48800
